Curso;Área;Categorias;Código WhatsApp;Caminho;URL final (GitHub Pages)
Administração;Gestão e negócios;10 a 15 dias (CT) / 2 a 7 dias (SEI);LP-ADMINISTRACAO;/lp/administracao/;https://michaelxsouza.github.io/LiderTec/lp/administracao/
Agente Comunitário de Saúde;Saúde e bem-estar;2 a 7 dias (SEI);LP-AGENTE-COMUNITARIO-DE-SAUDE;/lp/agente-comunitario-de-saude/;https://michaelxsouza.github.io/LiderTec/lp/agente-comunitario-de-saude/
Agricultura;Agro e meio ambiente;7 dias (IT) / 2 a 7 dias (SEI);LP-AGRICULTURA;/lp/agricultura/;https://michaelxsouza.github.io/LiderTec/lp/agricultura/
Agricultura e Agroindústria;Agro e meio ambiente;2 a 7 dias (SEI);LP-AGRICULTURA-E-AGROINDUSTRIA;/lp/agricultura-e-agroindustria/;https://michaelxsouza.github.io/LiderTec/lp/agricultura-e-agroindustria/
Agrimensura;Construção e infraestrutura;2 a 7 dias (SEI);LP-AGRIMENSURA;/lp/agrimensura/;https://michaelxsouza.github.io/LiderTec/lp/agrimensura/
Agroindústria;Agro e meio ambiente;2 a 7 dias (SEI);LP-AGROINDUSTRIA;/lp/agroindustria/;https://michaelxsouza.github.io/LiderTec/lp/agroindustria/
Agropecuária;Agro e meio ambiente;7 dias (IT);LP-AGROPECUARIA;/lp/agropecuaria/;https://michaelxsouza.github.io/LiderTec/lp/agropecuaria/
Análises Clínicas;Saúde e bem-estar;10 a 15 dias (CT) / 2 a 7 dias (SEI);LP-ANALISES-CLINICAS;/lp/analises-clinicas/;https://michaelxsouza.github.io/LiderTec/lp/analises-clinicas/
Aquicultura;Agro e meio ambiente;2 a 7 dias (SEI);LP-AQUICULTURA;/lp/aquicultura/;https://michaelxsouza.github.io/LiderTec/lp/aquicultura/
Automação Industrial;Indústria e manutenção;2 a 7 dias (SEI);LP-AUTOMACAO-INDUSTRIAL;/lp/automacao-industrial/;https://michaelxsouza.github.io/LiderTec/lp/automacao-industrial/
Biotecnologia;Indústria e manutenção;2 a 7 dias (SEI);LP-BIOTECNOLOGIA;/lp/biotecnologia/;https://michaelxsouza.github.io/LiderTec/lp/biotecnologia/
Celulose e Papel;Indústria e manutenção;10 a 15 dias (CT);LP-CELULOSE-E-PAPEL;/lp/celulose-e-papel/;https://michaelxsouza.github.io/LiderTec/lp/celulose-e-papel/
Contabilidade;Gestão e negócios;2 a 7 dias (SEI);LP-CONTABILIDADE;/lp/contabilidade/;https://michaelxsouza.github.io/LiderTec/lp/contabilidade/
Cuidador de Idosos;Saúde e bem-estar;10 a 15 dias (CT) / 2 a 7 dias (SEI);LP-CUIDADOR-DE-IDOSOS;/lp/cuidador-de-idosos/;https://michaelxsouza.github.io/LiderTec/lp/cuidador-de-idosos/
Defesa Civil;Segurança e proteção;2 a 7 dias (SEI);LP-DEFESA-CIVIL;/lp/defesa-civil/;https://michaelxsouza.github.io/LiderTec/lp/defesa-civil/
Desenvolvimento de Sistemas;Tecnologia e comunicação;2 a 7 dias (SEI);LP-DESENVOLVIMENTO-DE-SISTEMAS;/lp/desenvolvimento-de-sistemas/;https://michaelxsouza.github.io/LiderTec/lp/desenvolvimento-de-sistemas/
Design Gráfico;Design e criação;2 a 7 dias (SEI);LP-DESIGN-GRAFICO;/lp/design-grafico/;https://michaelxsouza.github.io/LiderTec/lp/design-grafico/
Design de Interiores;Design e criação;2 a 7 dias (SEI);LP-DESIGN-DE-INTERIORES;/lp/design-de-interiores/;https://michaelxsouza.github.io/LiderTec/lp/design-de-interiores/
Edificações;Construção e infraestrutura;2 a 7 dias (SEI);LP-EDIFICACOES;/lp/edificacoes/;https://michaelxsouza.github.io/LiderTec/lp/edificacoes/
Eletroeletrônica;Indústria e manutenção;7 dias (IT);LP-ELETROELETRONICA;/lp/eletroeletronica/;https://michaelxsouza.github.io/LiderTec/lp/eletroeletronica/
Eletromecânica;Indústria e manutenção;2 a 7 dias (SEI);LP-ELETROMECANICA;/lp/eletromecanica/;https://michaelxsouza.github.io/LiderTec/lp/eletromecanica/
Eletrotécnica;Indústria e manutenção;2 a 7 dias (SEI);LP-ELETROTECNICA;/lp/eletrotecnica/;https://michaelxsouza.github.io/LiderTec/lp/eletrotecnica/
Eletrônica;Indústria e manutenção;2 a 7 dias (SEI);LP-ELETRONICA;/lp/eletronica/;https://michaelxsouza.github.io/LiderTec/lp/eletronica/
Enfermagem;Saúde e bem-estar;2 a 7 dias (SEI);LP-ENFERMAGEM;/lp/enfermagem/;https://michaelxsouza.github.io/LiderTec/lp/enfermagem/
Equipamentos Biomédicos;Saúde e bem-estar;2 a 7 dias (SEI);LP-EQUIPAMENTOS-BIOMEDICOS;/lp/equipamentos-biomedicos/;https://michaelxsouza.github.io/LiderTec/lp/equipamentos-biomedicos/
Estética;Saúde e bem-estar;10 a 15 dias (CT) / 2 a 7 dias (SEI);LP-ESTETICA;/lp/estetica/;https://michaelxsouza.github.io/LiderTec/lp/estetica/
Eventos;Turismo, eventos e serviços;2 a 7 dias (SEI);LP-EVENTOS;/lp/eventos/;https://michaelxsouza.github.io/LiderTec/lp/eventos/
Farmácia;Saúde e bem-estar;10 a 15 dias (CT) / 2 a 7 dias (SEI);LP-FARMACIA;/lp/farmacia/;https://michaelxsouza.github.io/LiderTec/lp/farmacia/
Finanças;Gestão e negócios;7 dias (IT);LP-FINANCAS;/lp/financas/;https://michaelxsouza.github.io/LiderTec/lp/financas/
Gastronomia;Turismo, eventos e serviços;2 a 7 dias (SEI);LP-GASTRONOMIA;/lp/gastronomia/;https://michaelxsouza.github.io/LiderTec/lp/gastronomia/
Gerência em Saúde;Saúde e bem-estar;2 a 7 dias (SEI);LP-GERENCIA-EM-SAUDE;/lp/gerencia-em-saude/;https://michaelxsouza.github.io/LiderTec/lp/gerencia-em-saude/
Guia de Turismo;Turismo, eventos e serviços;10 a 15 dias (CT) / 2 a 7 dias (SEI);LP-GUIA-DE-TURISMO;/lp/guia-de-turismo/;https://michaelxsouza.github.io/LiderTec/lp/guia-de-turismo/
Informática;Tecnologia e comunicação;7 dias (IT);LP-INFORMATICA;/lp/informatica/;https://michaelxsouza.github.io/LiderTec/lp/informatica/
Informática para Internet;Tecnologia e comunicação;2 a 7 dias (SEI);LP-INFORMATICA-PARA-INTERNET;/lp/informatica-para-internet/;https://michaelxsouza.github.io/LiderTec/lp/informatica-para-internet/
Logística;Gestão e negócios;2 a 7 dias (SEI);LP-LOGISTICA;/lp/logistica/;https://michaelxsouza.github.io/LiderTec/lp/logistica/
Manutenção de Máquinas Industriais;Indústria e manutenção;2 a 7 dias (SEI);LP-MANUTENCAO-DE-MAQUINAS-INDUSTRIAIS;/lp/manutencao-de-maquinas-industriais/;https://michaelxsouza.github.io/LiderTec/lp/manutencao-de-maquinas-industriais/
Manutenção de Máquinas Navais;Indústria e manutenção;2 a 7 dias (SEI);LP-MANUTENCAO-DE-MAQUINAS-NAVAIS;/lp/manutencao-de-maquinas-navais/;https://michaelxsouza.github.io/LiderTec/lp/manutencao-de-maquinas-navais/
Manutenção de Máquinas Pesadas;Indústria e manutenção;2 a 7 dias (SEI);LP-MANUTENCAO-DE-MAQUINAS-PESADAS;/lp/manutencao-de-maquinas-pesadas/;https://michaelxsouza.github.io/LiderTec/lp/manutencao-de-maquinas-pesadas/
Marketing;Gestão e negócios;2 a 7 dias (SEI);LP-MARKETING;/lp/marketing/;https://michaelxsouza.github.io/LiderTec/lp/marketing/
Mecânica;Indústria e manutenção;7 dias (IT) / 2 a 7 dias (SEI);LP-MECANICA;/lp/mecanica/;https://michaelxsouza.github.io/LiderTec/lp/mecanica/
Meio Ambiente;Agro e meio ambiente;2 a 7 dias (SEI);LP-MEIO-AMBIENTE;/lp/meio-ambiente/;https://michaelxsouza.github.io/LiderTec/lp/meio-ambiente/
